,doc,sentence,statement,ARG0_highdim,ARG0_lowdim,B-V_highdim,B-V_lowdim,B-ARGM-NEG_highdim,B-ARGM-NEG_lowdim,B-ARGM-MOD_highdim,ARG1_highdim,ARG1_lowdim,ARG2_highdim,ARG2_lowdim,B-V_lowdim_with_neg,B-V_highdim_with_neg,narrative_highdim,narrative_lowdim
106485,1053839625679183872,50943,106485,north dakota rep kevin cramer,comey,win,win,,,,debate,question,,,not_win,not_win,north dakota rep kevin cramer not_win debate,comey not_win question
106505,1053684769991454721,50953,106505,adam laxalt,omarosa,,,,,,complete total endorsement,money,,,not_,not_,adam laxalt not_ complete total endorsement,omarosa not_ money
106519,1053662989272793089,50961,106519,florida,florida,set,set,,,,record,people,,,not_set,not_set,florida not_set record,florida not_set people
106524,1053662989272793089,50964,106524,incompetent opponent,corrupt,destroy,destroy,,,,florida venezuela,florida,,,not_destroy,not_destroy,incompetent opponent not_destroy florida venezuela,corrupt not_destroy florida
106529,1053661248217202688,50966,106529,governor,campaign,set,set,,,,record,people,,,not_set,not_set,governor not_set record,campaign not_set people
106530,1053661248217202688,50967,106530,rick scott,john,,,,,,tremendous foundation far build,money,,,not_,not_,rick scott not_ tremendous foundation far build,john not_ money
106532,1053661248217202688,50968,106532,opponent,campaign,run,work,,,,bad amp corrupt city usa,usa,,,not_work,not_run,opponent not_run bad amp corrupt city usa,campaign not_run usa
106549,1053655992649506821,50976,106549,democrat,democrat,stop,stop,,,,obstructionist,hater loser,,,not_stop,not_stop,democrat not_stop obstructionist,democrat not_stop hater loser
106587,1053285341610668034,50993,106587,congressman andy biggs,comey,,,,,,great job,great,arizona country,country,not_,not_,congressman andy biggs not_ great job,comey not_ great
106589,1053121500151074817,50995,106589,jon tester,jeb,,,,,,thing,thing,voter,election,not_,not_,jon tester not_ thing,jeb not_ thing
106591,1053121500151074817,50996,106591,tester,jeb,,,,,,order form pelosi amp schumer,jeb,,,not_,not_,tester not_ order form pelosi amp schumer,jeb not_ jeb
106592,1053121500151074817,50996,106592,order,help,form,work,,,,pelosi amp schumer,jeb,,,not_work,not_form,order not_form pelosi amp schumer,help not_form jeb
106593,1053121500151074817,50997,106593,tester,jeb,want,want,,,,raise tax away open border deliver mob rule,border,,,not_want,not_want,tester not_want raise tax away open border deliver mob rule,jeb not_want border
106594,1053121500151074817,50997,106594,tester,jeb,raise,fire,,,,tax,tax,,,not_fire,not_raise,tester not_raise tax,jeb not_raise tax
106596,1053121500151074817,50997,106596,tester,jeb,open,open,,,,border,border,,,not_open,not_open,tester not_open border,jeb not_open border
106597,1053121500151074817,50997,106597,tester,jeb,deliver,save,,,,mob rule,fight,,,not_save,not_deliver,tester not_deliver mob rule,jeb not_deliver fight
106601,1053076069564071936,51001,106601,thing,thing,,,,,,tester alive,lie,,,not_,not_,thing not_ tester alive,thing not_ lie
106604,1053076069564071936,51001,106604,outside liberal leftist,leader,care,care,True,True,,country,country,,,care,care,outside liberal leftist care country,leader care country
106616,1053070661302669312,51005,106616,prime minister abeshinzo japan,japan,work,work,,,,help balance trade japan,japan,,,not_work,not_work,prime minister abeshinzo japan not_work help balance trade japan,japan not_work japan
106617,1053070661302669312,51005,106617,prime minister abeshinzo japan,japan,help,help,,,,balance trade japan,japan,,,not_help,not_help,prime minister abeshinzo japan not_help balance trade japan,japan not_help japan
106631,1053013864244219904,51010,106631,democrat,democrat,allow,let,,,,country,country,,,not_let,not_allow,democrat not_allow country,democrat not_allow country
106634,1053008701026693122,51011,106634,republican,republican,support,stand,,,,people pre exist condition,day,,,not_stand,not_support,republican not_support people pre exist condition,republican not_support day
106640,1053008701026693122,51013,106640,democrat,democrat,destroy,destroy,,,,medicare,tax,,,not_destroy,not_destroy,democrat not_destroy medicare,democrat not_destroy tax
106651,1052947510271111170,51019,106651,saudi turkey,turkey,,,,,,investigation,case,,,not_,not_,saudi turkey not_ investigation,turkey not_ case
106663,1052914382986973184,51025,106663,dave,john,,,,,,total endorsement,campaign,,,not_,not_,dave not_ total endorsement,john not_ campaign
106669,1052888451199262725,51028,106669,mexico,mexico,stop,stop,,,,onslaught northern border,border,,,not_stop,not_stop,mexico not_stop onslaught northern border,mexico not_stop border
106674,1052885781675687936,51031,106674,country,country,,,,,,control population,number,,,not_,not_,country not_ control population,country not_ number
106677,1052885781675687936,51031,106677,mexico,mexico,stop,stop,,,,onslaught,fight,,,not_stop,not_stop,mexico not_stop onslaught,mexico not_stop fight
106687,1052883467430694912,51032,106687,guatemala honduras el salvador leader,puerto rico,,,,,,little,thing,,,not_,not_,guatemala honduras el salvador leader not_ little,puerto rico not_ thing
106688,1052883467430694912,51032,106688,guatemala honduras el salvador leader,puerto rico,stop,stop,,,,large flow people include criminal enter mexico,mexico,,,not_stop,not_stop,guatemala honduras el salvador leader not_stop large flow people include criminal enter mexico,puerto rico not_stop mexico
106691,1052741954918866944,51033,106691,senator john tester,jeb,look,look,,,,big trouble great state montana,great state,,,not_look,not_look,senator john tester not_look big trouble great state montana,jeb not_look great state
106698,1052644447853453312,51036,106698,congressman neal dunn dunncampaign florida,florida,,,,,,outstanding job,honor,,,not_,not_,congressman neal dunn dunncampaign florida not_ outstanding job,florida not_ honor
106703,1052644447853453312,51038,106703,strong crime,crime,love,know,,,,military vet,military,,,not_know,not_love,strong crime not_love military vet,crime not_love military
106704,1052644447853453312,51039,106704,neal,james comey,,,,,,high endorsement,campaign,,,not_,not_,neal not_ high endorsement,james comey not_ campaign
106706,1052641581650640903,51040,106706,college educate woman,classify information,want,want,,,,safety security healthcare protection,healthcare,,,not_want,not_want,college educate woman not_want safety security healthcare protection,classify information not_want healthcare
106713,1052609907344715777,51043,106713,president donald trump,donald trump,follow,come,,,,promise cut burdensome red tape unleash american economyread,american,,,not_come,not_follow,president donald trump not_follow promise cut burdensome red tape unleash american economyread,donald trump not_follow american
106714,1052609907344715777,51043,106714,president donald trump,donald trump,cut,cut,,,,burdensome red tape,corrupt,,,not_cut,not_cut,president donald trump not_cut burdensome red tape,donald trump not_cut corrupt
106716,1052556944068755456,51044,106716,republican,republican,,,,,,horrendous weak outdated immigration law border midterm,border,,,not_,not_,republican not_ horrendous weak outdated immigration law border midterm,republican not_ border
106719,1052556222459727872,51045,106719,democrat,democrat,approve,disapprove,True,,wo,legislation allow law protection country,country,,,not_disapprove,approve,democrat approve legislation allow law protection country,democrat approve country
106721,1052556222459727872,51045,106721,legislation,law,allow,let,,,,law protection country,country,,,not_let,not_allow,legislation not_allow law protection country,law not_allow country
106723,1052539788190986240,51047,106723,network news,tv,,,,,,zero coverage,tv,big day stock market yesterday,million,not_,not_,network news not_ zero coverage,tv not_ tv
106726,1052537536961306625,51049,106726,august job opening,november,hit,hit,,,,record million,million,,,not_hit,not_hit,august job opening not_hit record million,november not_hit million
106732,1052529703800721408,51054,106732,ted cruz,ted cruz,,,,,,include massive cut tax regulation brought texas best job number history state,texas,texas,texas,not_,not_,ted cruz not_ include massive cut tax regulation brought texas best job number history state,ted cruz not_ texas
106735,1052529703800721408,51054,106735,massive cut tax regulation,law,brought,work,,,,texas,texas,,,not_work,not_brought,massive cut tax regulation not_brought texas,law not_brought texas
106740,1052529703800721408,51057,106740,ted,john,,,,,,strong endorsement,campaign,,,not_,not_,ted not_ strong endorsement,john not_ campaign
106763,1052387851088867330,51066,106763,left,advantage,hammer,forge,,,,elizabeth warren,james comey,,,not_forge,not_hammer,left not_hammer elizabeth warren,advantage not_hammer james comey
106766,1052369731959820292,51068,106766,anybody,thing,enter,enter,,,,united state,state,,,not_enter,not_enter,anybody not_enter united state,thing not_enter state
106785,1052270676982333442,51071,106785,john james,john,,,,,,headway,careful,,,not_,not_,john james not_ headway,john not_ careful
106805,1052268011900555265,51078,106805,crown prince saudi arabia,president xi,deny,refuse,,,,knowledge place turkish consulate,kurd,,,not_refuse,not_deny,crown prince saudi arabia not_deny knowledge place turkish consulate,president xi not_deny kurd
106821,1052217314463100928,51084,106821,simpson steele,john,use,use,,,,ohr,omarosa,channel fake dossier fbi,fbi,not_use,not_use,simpson steele not_use ohr,john not_use omarosa
106826,1052213711295930368,51088,106826,federal judge,case,throw,drop,,,,stormy danials lawsuit versus trump,trump,,,not_drop,not_throw,federal judge not_throw stormy danials lawsuit versus trump,case not_throw trump
106847,1052183647552491521,51102,106847,united state,state,inform,inform,,,,president honduras,puerto rico,large caravan people head stop brought honduras money aid honduras effective immediately,puerto rico,not_inform,not_inform,united state not_inform president honduras,state not_inform puerto rico
106855,1052181272137801728,51103,106855,op ed,press,praise,praise,,,,trump administration effort border,administration,,,not_praise,not_praise,op ed not_praise trump administration effort border,press not_praise administration
106858,1052181272137801728,51105,106858,government,government,,,,,,step stop release unaccompanied minor criminal trafficker,illegal immigrant,,,not_,not_,government not_ step stop release unaccompanied minor criminal trafficker,government not_ illegal immigrant
106860,1052181272137801728,51105,106860,government,government,release,release,,,,unaccompanied minor,illegal immigrant,criminal trafficker,hell,not_release,not_release,government not_release unaccompanied minor,government not_release illegal immigrant
106872,1052171444082360320,51108,106872,elizabeth warren,james comey,apologize,apologize,,,,perpetrate fraud american public,american,,,not_apologize,not_apologize,elizabeth warren not_apologize perpetrate fraud american public,james comey not_apologize american
106873,1052171444082360320,51108,106873,elizabeth warren,james comey,perpetrate,commit,,,,fraud,collusion,,,not_commit,not_perpetrate,elizabeth warren not_perpetrate fraud,james comey not_perpetrate collusion
106895,1051984061860904960,51116,106895,great senior,great,love,know,,,,low price medicare advantage plan,tax,,,not_know,not_love,great senior not_love low price medicare advantage plan,great not_love tax
